## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
Nrx-1	FBgn0038975	CASK	FBgn0013759	enhanceable	FBrf0215389
wg	FBgn0284084	dsh	FBgn0000499	suppressible	FBrf0090713
fs(1)K10	FBgn0000810	grk	FBgn0001137	suppressible	FBrf0080074
sc	FBgn0004170	Act5C	FBgn0000042	enhanceable	FBrf0223751
Dsor1	FBgn0010269	Su(phl)6	FBgn0014887	suppressible	FBrf0073777
Moe|puc	FBgn0011661|FBgn0243512	Rho1	FBgn0014020	suppressible	FBrf0210554
Pi3K92E	FBgn0015279	pix	FBgn0086706	enhanceable	FBrf0190712
CycE	FBgn0010382	Trl	FBgn0013263	suppressible	FBrf0151282
dgo	FBgn0086898	bdg	FBgn0034049	enhanceable	FBrf0202327
ftz	FBgn0001077	egl	FBgn0000562	enhanceable	FBrf0180141
ct	FBgn0004198	rgr	FBgn0267792	suppressible	FBrf0187644
Mitf	FBgn0263112	Vha55	FBgn0005671	suppressible	FBrf0229222
Ras64B	FBgn0003206	cno	FBgn0259212	enhanceable	FBrf0095665
ZnT86D	FBgn0037875	Catsup	FBgn0002022	enhanceable	FBrf0227521
gl	FBgn0004618	rn	FBgn0267337	enhanceable	FBrf0087580
Rok	FBgn0026181	LIMK1	FBgn0283712	enhanceable	FBrf0192322
park	FBgn0041100	Trap1	FBgn0026761	suppressible	FBrf0220561
arm	FBgn0000117	α-Cat::shg	FBgn0266997	suppressible	FBrf0187821
dpp	FBgn0000490	tld	FBgn0003719	enhanceable	FBrf0079237
sens	FBgn0002573	msk	FBgn0026252	suppressible	FBrf0194654
da	FBgn0267821	nvy	FBgn0005636	enhanceable	FBrf0190182
Tace	FBgn0039734	Cat	FBgn0000261	suppressible	FBrf0246645
sev	FBgn0003366	TfIIA-S	FBgn0013347	suppressible	FBrf0086204
grn	FBgn0001138	unc-5	FBgn0034013	suppressible	FBrf0218039
dgo	FBgn0086898	fwd	FBgn0004373	enhanceable	FBrf0218210
lz	FBgn0002576	Ras85D	FBgn0003205	enhanceable	FBrf0151256
Bx|ap	FBgn0265598|FBgn0267978	EP3-980	FBgn0260807	suppressible	FBrf0202749
Ras85D|sev	FBgn0003205|FBgn0003366	pnt	FBgn0003118	suppressible	FBrf0105879
Dd	FBgn0029067	put	FBgn0003169	suppressible	FBrf0214664
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	arm|fz	FBgn0000117|FBgn0001085	suppressible	FBrf0244419
bw	FBgn0000241	Mod(Prat:bw)3-6	FBgn0067869	suppressible	FBrf0162143
hop	FBgn0004864	baz	FBgn0000163	suppressible	FBrf0210131
pnr	FBgn0003117	EP3306	FBgn0062657	enhanceable	FBrf0147055
Rae1	FBgn0034646	Atg2	FBgn0044452	suppressible	FBrf0216253
SERCA|comt	FBgn0263006|FBgn0000346	kay	FBgn0001297	suppressible	FBrf0210453
cup	FBgn0000392	eIF4E1	FBgn0015218	enhanceable	FBrf0180643
rut	FBgn0003301	Rgk1	FBgn0264753	enhanceable	FBrf0235693
jus	FBgn0039647	E(sda)A	FBgn0066132	enhanceable	FBrf0155803
Dfd	FBgn0000439	UC119	FBgn0026014	enhanceable	FBrf0105823
sina	FBgn0003410	E(sina)6	FBgn0013941	suppressible	FBrf0100609
Smox	FBgn0025800	InR	FBgn0283499	enhanceable	FBrf0235445
Ras85D	FBgn0003205	Dsor1	FBgn0010269	suppressible	FBrf0131405
gfr|puc	FBgn0084590|FBgn0243512	bru3	FBgn0264001	suppressible	FBrf0211089
Shrm	FBgn0085408	Rok	FBgn0026181	suppressible	FBrf0211136
peb	FBgn0003053	vri	FBgn0016076	suppressible	FBrf0180294
hppy	FBgn0263395	S6k	FBgn0283472	enhanceable	FBrf0212911
btl|stumps	FBgn0285896|FBgn0020299	stan	FBgn0024836	enhanceable	FBrf0187664
egr	FBgn0033483	Tak1	FBgn0026323	suppressible	FBrf0226737
nos	FBgn0002962	cup	FBgn0000392	suppressible	FBrf0131417
aos	FBgn0004569	RpL5	FBgn0064225	enhanceable	FBrf0190712
Pka-C1	FBgn0000273	Su(fu)	FBgn0005355	enhanceable	FBrf0105900
Ras85D	FBgn0003205	Sos	FBgn0001965	enhanceable	FBrf0125429
pnr	FBgn0003117	EP1581	FBgn0043367	enhanceable	FBrf0147055
mim	FBgn0053558	cindr	FBgn0027598	suppressible	FBrf0210570
rho-4	FBgn0030318	S	FBgn0003310	enhanceable	FBrf0151285
CdGAPr	FBgn0032821	Fak	FBgn0020440	enhanceable	FBrf0193558
Wdr24	FBgn0027518	Nprl3	FBgn0036397	suppressible	FBrf0232362
spict	FBgn0032451	Med	FBgn0011655	suppressible	FBrf0194450
stck	FBgn0020249	ics	FBgn0028546	suppressible	FBrf0219315
Marcal1	FBgn0031655	osa	FBgn0261885	enhanceable	FBrf0234417
w	FBgn0003996	Psc	FBgn0005624	suppressible	FBrf0102846
ex	FBgn0004583	Schip1	FBgn0032221	suppressible	FBrf0231239
Pvr	FBgn0032006	robo2	FBgn0002543	suppressible	FBrf0187664
Mtl|Rac1|Rac2	FBgn0039532|FBgn0010333|FBgn0014011	hep	FBgn0010303	suppressible	FBrf0187401
sax	FBgn0003317	Mad	FBgn0011648	suppressible	FBrf0108296
Rel	FBgn0014018	GluRIIA	FBgn0004620	enhanceable	FBrf0240879
hh	FBgn0004644	sbb	FBgn0285917	enhanceable	FBrf0200898
mys	FBgn0004657	bs	FBgn0004101	enhanceable	FBrf0104793
Drice	FBgn0019972	Dcp-1	FBgn0010501	enhanceable	FBrf0193497
CanA-14F	FBgn0267912	sra	FBgn0086370	enhanceable	FBrf0215272
scw	FBgn0005590	sax	FBgn0003317	suppressible	FBrf0105285
peb	FBgn0003053	kst	FBgn0004167	suppressible	FBrf0180294
Egfr	FBgn0003731	mir-998	FBgn0262405	suppressible	FBrf0225736
ptc	FBgn0003892	mir-14	FBgn0262447	suppressible	FBrf0225466
gfzf	FBgn0250732	Trxr-1	FBgn0020653	suppressible	FBrf0242834
Gyc76C	FBgn0266136	trol	FBgn0284408	suppressible	FBrf0229825
Ubx	FBgn0003944	z	FBgn0004050	enhanceable	FBrf0063642
egr	FBgn0033483	slpr::Tak1	FBgn0273453	suppressible	FBrf0226737
TFAM	FBgn0038805	crc	FBgn0000370	suppressible	FBrf0244245
Ret	FBgn0011829	px	FBgn0003175	suppressible	FBrf0190765
N	FBgn0004647	Apc	FBgn0015589	enhanceable	FBrf0215478
tsh	FBgn0003866	hth	FBgn0001235	suppressible	FBrf0151919
pbl	FBgn0003041	Moe	FBgn0011661	enhanceable	FBrf0199094
DNaseII	FBgn0000477	Drep1	FBgn0024732	enhanceable	FBrf0208900
Vps35	FBgn0034708	Dl	FBgn0000463	suppressible	FBrf0240088
Pten|Ras85D	FBgn0026379|FBgn0003205	p53	FBgn0039044	suppressible	FBrf0234055
Su(Tpl)|lilli	FBgn0014037|FBgn0041111	N	FBgn0004647	suppressible	FBrf0235091
w	FBgn0003996	Dcr-2	FBgn0034246	suppressible	FBrf0195158
clu	FBgn0034087	Marf	FBgn0029870	suppressible	FBrf0233735
smo	FBgn0003444	E(smoDN)2117	FBgn0083286	enhanceable	FBrf0188528
cindr	FBgn0027598	CG9941	FBgn0030514	enhanceable	FBrf0237191
smo	FBgn0003444	mirr	FBgn0014343	enhanceable	FBrf0188527
aop	FBgn0000097	Raf	FBgn0003079	suppressible	FBrf0086690
Ras85D	FBgn0003205	SM3-8	FBgn0041615	suppressible	FBrf0127348
wrd	FBgn0042693	S6k	FBgn0283472	suppressible	FBrf0210726
Hip1	FBgn0036309	ac	FBgn0000022	suppressible	FBrf0205766
Snap29	FBgn0034913	Sec22	FBgn0260855	enhanceable	FBrf0227412
w	FBgn0003996	loqs	FBgn0032515	suppressible	FBrf0219804
Vps35	FBgn0034708	Rab5	FBgn0014010	suppressible	FBrf0236506
pk	FBgn0003090	faf	FBgn0005632	suppressible	FBrf0230423
Mad	FBgn0011648	myo	FBgn0026199	suppressible	FBrf0205031
N	FBgn0004647	E(spl)mγ-HLH	FBgn0002735	suppressible	FBrf0108430
Pc	FBgn0003042	salm	FBgn0261648	enhanceable	FBrf0076124
ph-p	FBgn0004861	salm	FBgn0261648	enhanceable	FBrf0076124
up	FBgn0004169	Mhc	FBgn0264695	suppressible	FBrf0201976
Ras85D	FBgn0003205	SM3-6	FBgn0041616	suppressible	FBrf0127348
ac	FBgn0000022	h	FBgn0001168	suppressible	FBrf0049623
Dl::N	FBgn0013820	Dcr-1	FBgn0039016	suppressible	FBrf0235708
Rap1	FBgn0004636	faf	FBgn0005632	enhanceable	FBrf0099363
pad	FBgn0038418	sc	FBgn0004170	suppressible	FBrf0190122
ninaE	FBgn0002940	Cdk7	FBgn0263237	suppressible	FBrf0223683
Dcp-1	FBgn0010501	Egfr	FBgn0003731	enhanceable	FBrf0209948
emc	FBgn0000575	N	FBgn0004647	enhanceable	FBrf0055045
egr	FBgn0033483	Diap1	FBgn0260635	suppressible	FBrf0212084
upd1	FBgn0004956	bun	FBgn0259176	suppressible	FBrf0230220
sqh	FBgn0003514	ovo	FBgn0003028	suppressible	FBrf0200870
bnl	FBgn0014135	hb	FBgn0001180	enhanceable	FBrf0130172
Socs36E	FBgn0041184	Stat92E	FBgn0016917	enhanceable	FBrf0151456
Psn	FBgn0284421	AP-1μ	FBgn0024833	enhanceable	FBrf0190744
arm|spen	FBgn0000117|FBgn0016977	nito	FBgn0027548	suppressible	FBrf0215879
ft	FBgn0001075	ds	FBgn0284247	enhanceable	FBrf0211889
Mlf	FBgn0034051	Su(fu)	FBgn0005355	enhanceable	FBrf0167614
ds	FBgn0284247	wg	FBgn0284084	suppressible	FBrf0179415
Prps	FBgn0036030	Lip4	FBgn0032264	suppressible	FBrf0243527
N	FBgn0004647	ena	FBgn0000578	suppressible	FBrf0213493
myo	FBgn0026199	sgg	FBgn0003371	suppressible	FBrf0235961
unc-5	FBgn0034013	Nrg|beat-Ia	FBgn0264975|FBgn0013433	enhanceable	FBrf0224474
Lrrk|foxo	FBgn0038816|FBgn0038197	hid	FBgn0003997	suppressible	FBrf0211787
obst-A	FBgn0031097	Gasp	FBgn0026077	enhanceable	FBrf0221956
shn	FBgn0003396	brk	FBgn0024250	suppressible	FBrf0151265
Ser	FBgn0004197	mib1	FBgn0263601	suppressible	FBrf0187469
Bl	FBgn0000193	E(f)	FBgn0000555	enhanceable	FBrf0063304
Dys	FBgn0260003	l(2)k09848	FBgn0284246	suppressible	FBrf0205440
dsx	FBgn0000504	ix	FBgn0001276	enhanceable	FBrf0046300
pbl	FBgn0003041	Rop	FBgn0004574	suppressible	FBrf0199094
Lrrk	FBgn0038816	Thor	FBgn0261560	suppressible	FBrf0207127
H	FBgn0001169	CG5986	FBgn0043455	enhanceable	FBrf0190751
Dl	FBgn0000463	twin	FBgn0011725	enhanceable	FBrf0239832
rho	FBgn0004635	Vps28	FBgn0021814	suppressible	FBrf0215049
hh	FBgn0004644	oro	FBgn0020263	enhanceable	FBrf0086019
trx	FBgn0003862	dom	FBgn0020306	suppressible	FBrf0134570
mod(mdg4)	FBgn0002781	Su(mg)3-4	FBgn0023148	suppressible	FBrf0099893
Pfdn2	FBgn0010741	pins	FBgn0040080	enhanceable	FBrf0231608
puc	FBgn0243512	pan	FBgn0085432	suppressible	FBrf0242372
ix	FBgn0001276	dpp	FBgn0000490	enhanceable	FBrf0229014
N	FBgn0004647	E(nd)195	FBgn0013936	suppressible	FBrf0078658
Raf::tor	FBgn0013724	Dsor1	FBgn0010269	enhanceable	FBrf0093573
RhoGAP68F	FBgn0036257	Rab7	FBgn0015795	enhanceable	FBrf0227700
hep	FBgn0010303	chm	FBgn0028387	suppressible	FBrf0190553
peb	FBgn0003053	Dl	FBgn0000463	enhanceable	FBrf0180294
et	FBgn0031055	hop	FBgn0004864	suppressible	FBrf0211466
run	FBgn0003300	RpS10b	FBgn0285947	enhanceable	FBrf0086390
Ras85D|dlg1	FBgn0003205|FBgn0001624	CycE|stg	FBgn0010382|FBgn0003525	suppressible	FBrf0216281
RacGAP84C	FBgn0045843	dom	FBgn0020306	enhanceable	FBrf0179402
H	FBgn0001169	dve	FBgn0020307	suppressible	FBrf0190751
Dsor1	FBgn0010269	ER2-1	FBgn0016638	suppressible	FBrf0087493
Ras85D	FBgn0003205	hid	FBgn0003997	suppressible	FBrf0209242
rut	FBgn0003301	gbb	FBgn0024234	suppressible	FBrf0180422
Kap-α3	FBgn0027338	Kap-α1	FBgn0024889	suppressible	FBrf0167653
trk	FBgn0003751	sty	FBgn0014388	suppressible	FBrf0107641
Raf	FBgn0003079	S6kII	FBgn0262866	enhanceable	FBrf0194603
Nsf2	FBgn0266464	Ufd1	FBgn0036136	suppressible	FBrf0187645
w	FBgn0003996	Mow	FBgn0017571	enhanceable	FBrf0104493
Rac1|Rac2|DAAM	FBgn0010333|FBgn0014011|FBgn0025641	Mtl	FBgn0039532	enhanceable	FBrf0206320
Dl	FBgn0000463	E(Dl)F14	FBgn0010026	enhanceable	FBrf0057610
Ras85D	FBgn0003205	TfIIA-S	FBgn0013347	suppressible	FBrf0086204
ph-p	FBgn0004861	fj	FBgn0000658	suppressible	FBrf0137022
ninaE	FBgn0002940	Smg5	FBgn0019890	suppressible	FBrf0247257
gbb	FBgn0024234	cv-2	FBgn0000395	suppressible	FBrf0204848
Snr1	FBgn0011715	JMJD6	FBgn0038948	enhanceable	FBrf0212876
Egfr	FBgn0003731	lilli	FBgn0041111	enhanceable	FBrf0134581
Src64B	FBgn0262733	Csk	FBgn0262081	suppressible	FBrf0194413
foi	FBgn0024236	Zip71B	FBgn0036461	suppressible	FBrf0232505
Vang|shg	FBgn0015838|FBgn0003391	dgo	FBgn0086898	enhanceable	FBrf0191998
pins	FBgn0040080	αTub67C	FBgn0087040	suppressible	FBrf0231608
Gk1	FBgn0025592	Gpdh1	FBgn0001128	enhanceable	FBrf0222684
rdgB	FBgn0003218	trp	FBgn0003861	suppressible	FBrf0107054
Cam	FBgn0000253	Ca-α1D	FBgn0001991	suppressible	FBrf0167631
fz	FBgn0001085	ft	FBgn0001075	suppressible	FBrf0146910
GluRIIA	FBgn0004620	Pi3K68D	FBgn0015278	suppressible	FBrf0237814
faf	FBgn0005632	E(faf)bE365	FBgn0022807	enhanceable	FBrf0098784
RYBP	FBgn0034763	Dredd	FBgn0020381	suppressible	FBrf0215409
Camta	FBgn0287478	Arr2	FBgn0000121	enhanceable	FBrf0192912
Sxl	FBgn0264270	ssx	FBgn0024987	suppressible	FBrf0212664
Ppt1	FBgn0030057	sax	FBgn0003317	suppressible	FBrf0201672
bowl	FBgn0004893	Dcr-2	FBgn0034246	enhanceable	FBrf0200691
TrpA1	FBgn0035934	shi	FBgn0003392	suppressible	FBrf0230181
aos	FBgn0004569	soba	FBgn0002285	suppressible	FBrf0082770
fs(1)Yb	FBgn0000928	ptc	FBgn0003892	suppressible	FBrf0137038
Ppt1	FBgn0030057	Frl	FBgn0267795	enhanceable	FBrf0201672
Nsf2	FBgn0266464	CG14411	FBgn0030582	suppressible	FBrf0187645
Kap-α1	FBgn0024889	Fs(2)Ket	FBgn0262743	suppressible	FBrf0204254
H	FBgn0001169	Su(H)	FBgn0004837	suppressible	FBrf0125316
Atg1	FBgn0260945	mask	FBgn0043884	enhanceable	FBrf0237484
Dok	FBgn0029944	Shark	FBgn0015295	suppressible	FBrf0190273
brm	FBgn0000212	yki	FBgn0034970	enhanceable	FBrf0223022
eas	FBgn0000536	kcc	FBgn0261794	suppressible	FBrf0209683
Det	FBgn0264291	Incenp	FBgn0260991	suppressible	FBrf0222435
Csk	FBgn0262081	tum	FBgn0086356	suppressible	FBrf0225132
Dcp-1	FBgn0010501	sesB	FBgn0003360	suppressible	FBrf0225123
Ras85D	FBgn0003205	Apc|Med|p53	FBgn0015589|FBgn0011655|FBgn0039044	enhanceable	FBrf0234055
H	FBgn0001169	EP1595	FBgn0062681	enhanceable	FBrf0190751
Dl	FBgn0000463	nmo	FBgn0011817	enhanceable	FBrf0134745
Dl	FBgn0000463	Pop2	FBgn0036239	enhanceable	FBrf0239832
Ret	FBgn0011829	l(3)S024833	FBgn0084423	enhanceable	FBrf0190765
obk	FBgn0024208	wg	FBgn0284084	suppressible	FBrf0178980
Ets21C|Ras85D|scrib	FBgn0005660|FBgn0003205|FBgn0263289	kay	FBgn0001297	suppressible	FBrf0229785
lwr	FBgn0010602	Dif	FBgn0011274	suppressible	FBrf0187386
Sema1a	FBgn0011259	CadN	FBgn0015609	enhanceable	FBrf0220633
Dl	FBgn0000463	aos	FBgn0004569	enhanceable	FBrf0146966
Abd-B	FBgn0000015	gpp	FBgn0264495	enhanceable	FBrf0183454
msn	FBgn0010909	Jra	FBgn0001291	suppressible	FBrf0111453
stumps	FBgn0020299	bnl	FBgn0014135	suppressible	FBrf0108206
vir	FBgn0003977	mle	FBgn0002774	suppressible	FBrf0085215
ens	FBgn0264693	Sas-4	FBgn0011020	enhanceable	FBrf0224515
E2f2	FBgn0024371	E2f1	FBgn0011766	enhanceable	FBrf0138394
Pect	FBgn0032482	Itpr|Pisd	FBgn0010051|FBgn0026576	suppressible	FBrf0247107
Nprl2	FBgn0030800	Tor	FBgn0021796	suppressible	FBrf0234182
His1:CG31617	FBgn0051617	puc	FBgn0243512	suppressible	FBrf0236398
rho	FBgn0004635	S	FBgn0003310	suppressible	FBrf0100630
Trpml	FBgn0262516	RagA-B	FBgn0037647	suppressible	FBrf0219457
Jarid2	FBgn0036004	htt	FBgn0027655	enhanceable	FBrf0227101
par-1	FBgn0260934	tau	FBgn0266579	enhanceable	FBrf0235965
yki	FBgn0034970	vg	FBgn0003975	suppressible	FBrf0229775
dsh	FBgn0000499	sgg	FBgn0003371	suppressible	FBrf0179352
Dcp-1	FBgn0010501	bchs	FBgn0043362	enhanceable	FBrf0209948
Ubqn	FBgn0031057	ATP6AP2	FBgn0037671	suppressible	FBrf0241650
orb2	FBgn0264307	brat	FBgn0010300	suppressible	FBrf0237581
mod(mdg4)|ct	FBgn0002781|FBgn0004198	lwr|smt3	FBgn0010602|FBgn0264922	enhanceable	FBrf0193462
dom	FBgn0020306	dco	FBgn0002413	suppressible	FBrf0221645
yki	FBgn0034970	sd	FBgn0003345	suppressible	FBrf0216584
Src64B	FBgn0262733	Csk	FBgn0262081	enhanceable	FBrf0179378
pnr	FBgn0003117	CG12084	FBgn0043458	enhanceable	FBrf0147055
puf	FBgn0039214	ago	FBgn0041171	enhanceable	FBrf0223386
Ras85D	FBgn0003205	rl	FBgn0003256	enhanceable	FBrf0125429
mys	FBgn0004657	shv	FBgn0031256	suppressible	FBrf0235120
dl	FBgn0260632	Dlip3	FBgn0040465	enhanceable	FBrf0205502
cindr	FBgn0027598	CG10916	FBgn0034312	enhanceable	FBrf0237191
Ppt1	FBgn0030057	Csk	FBgn0262081	enhanceable	FBrf0211567
Ptp69D|Ptp10D	FBgn0014007|FBgn0004370	sli	FBgn0264089	enhanceable	FBrf0125454
slpr	FBgn0030018	Mtl|Rac1|Rac2	FBgn0039532|FBgn0010333|FBgn0014011	enhanceable	FBrf0193269
aop	FBgn0000097	Su(Tpl)	FBgn0014037	suppressible	FBrf0125429
btl::Egfr	FBgn0022739	CG7231	FBgn0031968	enhanceable	FBrf0187664
if	FBgn0001250	if::mew	FBgn0020849	suppressible	FBrf0095654
AMPKα	FBgn0023169	ACC	FBgn0033246	suppressible	FBrf0238353
N	FBgn0004647	Nle	FBgn0021874	enhanceable	FBrf0105918
Prosβ2|Prosβ6	FBgn0023174|FBgn0002284	lncRNA:Hsrω	FBgn0001234	suppressible	FBrf0211742
phyl	FBgn0013725	E(spl)m8-HLH	FBgn0000591	suppressible	FBrf0214307
sws	FBgn0003656	per	FBgn0003068	enhanceable	FBrf0217432
Pink1	FBgn0029891	Drp1	FBgn0026479	suppressible	FBrf0247076
Strip	FBgn0035437	wts	FBgn0011739	suppressible	FBrf0233328
Lar	FBgn0000464	Sdc	FBgn0010415	enhanceable	FBrf0190011
hiw	FBgn0030600	wnd	FBgn0036896	suppressible	FBrf0194919
Nup62	FBgn0034118	Nup154	FBgn0021761	suppressible	FBrf0229497
Abl	FBgn0000017	Abi	FBgn0020510	suppressible	FBrf0208583
Dl	FBgn0000463	Ser	FBgn0004197	enhanceable	FBrf0187479
gro	FBgn0001139	Hipk	FBgn0035142	suppressible	FBrf0206915
Alg3	FBgn0011297	egr	FBgn0033483	enhanceable	FBrf0239133
dom	FBgn0020306	Tip60	FBgn0026080	enhanceable	FBrf0221645
dpp	FBgn0000490	gbb	FBgn0024234	suppressible	FBrf0103295
Sox21a	FBgn0036411	kay	FBgn0001297	suppressible	FBrf0230512
Cdc42	FBgn0010341	bchs	FBgn0043362	enhanceable	FBrf0179402
msl-2	FBgn0005616	Spt5	FBgn0040273	suppressible	FBrf0220177
da	FBgn0267821	Su(da<up>lyh</up>)22C6	FBgn0026349	suppressible	FBrf0107280
hkb	FBgn0261434	gcm	FBgn0014179	enhanceable	FBrf0190357
Mmp2	FBgn0033438	Timp	FBgn0025879	suppressible	FBrf0155689
Rala	FBgn0015286	hep	FBgn0010303	suppressible	FBrf0110725
DCTN1-p150	FBgn0001108	EG149	FBgn0262070	enhanceable	FBrf0209456
dpp	FBgn0000490	p38b	FBgn0024846	enhanceable	FBrf0106118
csw	FBgn0000382	Usp47	FBgn0016756	enhanceable	FBrf0233290
ct	FBgn0004198	CycE	FBgn0010382	suppressible	FBrf0187644
Psc	FBgn0005624	Marcal1	FBgn0031655	suppressible	FBrf0234417
mys	FBgn0004657	Itgbn	FBgn0010395	enhanceable	FBrf0180169
Dcr-1	FBgn0039016	dap	FBgn0010316	suppressible	FBrf0210816
Syx1A	FBgn0013343	Syt4	FBgn0028400	suppressible	FBrf0230210
CtBP	FBgn0020496	danr	FBgn0039283	enhanceable	FBrf0211770
pnr	FBgn0003117	Pits	FBgn0030400	enhanceable	FBrf0147055
peb	FBgn0003053	Rpn6	FBgn0028689	suppressible	FBrf0180294
cv-c	FBgn0285955	Rho1	FBgn0014020	suppressible	FBrf0211000
ato	FBgn0010433	Egfr	FBgn0003731	enhanceable	FBrf0230799
InR	FBgn0283499	Tsc1	FBgn0026317	suppressible	FBrf0136941
Raf	FBgn0003079	Mkp3	FBgn0036844	suppressible	FBrf0167896
dpp	FBgn0000490	gbb	FBgn0024234	enhanceable	FBrf0192202
sd	FBgn0003345	vg	FBgn0003975	enhanceable	FBrf0193006
Kr	FBgn0001325	ex	FBgn0004583	enhanceable	FBrf0129693
slo	FBgn0003429	Fas2	FBgn0000635	suppressible	FBrf0212405
sns	FBgn0024189	hbs::sns	FBgn0265975	suppressible	FBrf0207479
bchs	FBgn0043362	Gga	FBgn0030141	enhanceable	FBrf0219559
Plzf	FBgn0032401	Ras85D	FBgn0003205	enhanceable	FBrf0218378
nuf	FBgn0013718	l(2)gl	FBgn0002121	enhanceable	FBrf0187226
Src64B	FBgn0262733	cpa|cpb	FBgn0034577|FBgn0011570	suppressible	FBrf0224738
flw	FBgn0000711	RhoGEF2	FBgn0023172	suppressible	FBrf0213586
nkd	FBgn0002945	tum	FBgn0086356	enhanceable	FBrf0188508
Ret	FBgn0011829	l(3)S003704	FBgn0028232	enhanceable	FBrf0190765
TBPH	FBgn0025790	Hrb98DE	FBgn0001215	suppressible	FBrf0236460
hth	FBgn0001235	jing	FBgn0086655	enhanceable	FBrf0194382
dx	FBgn0000524	M285	FBgn0025576	enhanceable	FBrf0104442
rpr	FBgn0011706	cln	FBgn0015922	suppressible	FBrf0127348
hiw	FBgn0030600	RagA-B	FBgn0037647	suppressible	FBrf0229723
Rac2	FBgn0014011	CRMP	FBgn0023023	enhanceable	FBrf0219149
Egfr	FBgn0003731	S	FBgn0003310	enhanceable	FBrf0190765
kek6	FBgn0039862	Vap33	FBgn0029687	suppressible	FBrf0236611
l(2)gl	FBgn0002121	baz	FBgn0000163	enhanceable	FBrf0206088
pbl	FBgn0003041	cdc14	FBgn0031952	enhanceable	FBrf0199094
Dscam1	FBgn0033159	Abl	FBgn0000017	suppressible	FBrf0228582
Snr1	FBgn0011715	Su(Tpl)	FBgn0014037	suppressible	FBrf0235091
B-H1	FBgn0011758	Ras85D	FBgn0003205	enhanceable	FBrf0104448
Nf1	FBgn0015269	amx	FBgn0000077	suppressible	FBrf0223429
rl	FBgn0003256	kay	FBgn0001297	suppressible	FBrf0136943
Abl	FBgn0000017	Abi	FBgn0020510	suppressible	FBrf0242076
ec	FBgn0000542	bsk	FBgn0000229	suppressible	FBrf0202297
pb	FBgn0051481	skd	FBgn0003415	enhanceable	FBrf0131257
N	FBgn0004647	sAB1	FBgn0019658	suppressible	FBrf0090844
Tor	FBgn0021796	Atg1	FBgn0260945	enhanceable	FBrf0194462
N	FBgn0004647	pk	FBgn0003090	suppressible	FBrf0106363
hng1	FBgn0034599	hng3	FBgn0035160	enhanceable	FBrf0224045
Ras85D	FBgn0003205	Sec15	FBgn0266674	suppressible	FBrf0226906
Antp	FBgn0260642	art	FBgn0004475	enhanceable	unattributed
Dif	FBgn0011274	dl	FBgn0260632	suppressible	FBrf0193396
hb|nos	FBgn0001180|FBgn0002962	mxc	FBgn0260789	suppressible	FBrf0103357
sna	FBgn0003448	noc	FBgn0005771	enhanceable	FBrf0044464
park	FBgn0041100	eIF4E1	FBgn0015218	suppressible	FBrf0212264
Ras85D|scrib	FBgn0003205|FBgn0263289	Prat2	FBgn0041194	suppressible	FBrf0221096
tws	FBgn0004889	grp	FBgn0261278	suppressible	FBrf0235005
l(2)gl	FBgn0002121	Myc	FBgn0262656	suppressible	FBrf0210873
sgl|w	FBgn0261445|FBgn0003996	wg	FBgn0284084	suppressible	FBrf0105774
mrn	FBgn0261109	Tfb5	FBgn0265968	suppressible	FBrf0206304
arm	FBgn0000117	tum	FBgn0086356	suppressible	FBrf0211056
sina	FBgn0003410	pros	FBgn0004595	enhanceable	FBrf0089979
Rab7	FBgn0015795	Rab11	FBgn0015790	suppressible	FBrf0242427
dlg1	FBgn0001624	Def	FBgn0010385	enhanceable	FBrf0243114
His2Av	FBgn0001197	dom	FBgn0020306	enhanceable	FBrf0223349
ct	FBgn0004198	trx	FBgn0003862	suppressible	FBrf0187644
nwk	FBgn0263456	WASp	FBgn0024273	enhanceable	FBrf0175021
ed	FBgn0000547	Nrg	FBgn0264975	enhanceable	FBrf0158885
osk	FBgn0003015	Lasp	FBgn0063485	suppressible	FBrf0206294
shn	FBgn0003396	brk	FBgn0024250	suppressible	FBrf0135728
foxo	FBgn0038197	mts	FBgn0004177	suppressible	FBrf0206002
aop	FBgn0000097	alph	FBgn0086361	enhanceable	FBrf0190087
Pc	FBgn0003042	Hcf	FBgn0039904	enhanceable	FBrf0216958
Debcl	FBgn0029131	Buffy	FBgn0040491	suppressible	FBrf0209126
Atg6	FBgn0264325	Buffy	FBgn0040491	enhanceable	FBrf0233893
yki	FBgn0034970	hpo|wts	FBgn0261456|FBgn0011739	suppressible	FBrf0215087
Ras85D	FBgn0003205	Cbl	FBgn0020224	suppressible	FBrf0210285
spn-B	FBgn0003480	mei-41	FBgn0004367	suppressible	FBrf0111879
NaPi-III	FBgn0260795	futsch	FBgn0259108	enhanceable	FBrf0237660
Atg1	FBgn0260945	Cpsf160	FBgn0024698	suppressible	FBrf0238799
Polr2A	FBgn0003277	Polr2B	FBgn0262955	suppressible	FBrf0103162
Smox	FBgn0025800	brat	FBgn0010300	suppressible	FBrf0235445
